,track_id,artists,track_name
43316,2JiF34kX83JarHENVGvu8M,Alphaxone,Beyond the Edge
14753,6TTObHutNMcPlNhDDiAFlL,Apache Indian,Tere Toor
11683,0JAzwrikHrPWVK02ANRkHl,Wolfgang Amadeus Mozart;Giuseppe Greco,"Piano Sonata No. 17 in B-Flat Major, K. 570: II. Adagio"
11681,2WnrNA0YgU06xhMcvjlaxD,Wolfgang Amadeus Mozart;Thomas Trotter,"The London Sketchbook, K. 15a-ss - Divertimento in G minor: 2. (Andante), K.15q"
56672,3x0lg7bRDP2LCn65JeNdwL,Blondie,"Call Me - Single Version / Theme From ""American Gigolo"""
56567,5rLVwM5DvEWm1mFyUU32y4,Lana Del Rey,Born To Die
11666,7p15KIBWivMZAAOWwBMeB4,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,"Sonata for Piano and Violin in F, K.377: 2a. Tema con variazioni: Tema"
17839,4mPdzAzwjSGbuVSzxxeero,Omar S,One of a Kind
17838,7gb3uc96BxxfdNWLbsfQ3d,Kevin Saunderson;Kink,Idyllic - Extended Mix
70337,4KgmQOA96nbUl2x3skpwp9,Timothy Infinite,Sudden
43321,6CDj4SbDU9COClIPMFtWSN,Anoushbard,The Man Who Rides Through the Fire
43322,29W2q3J4CUnrP97gZxYzUt,Alphaxone,Dissolving Horizon
17719,0sOJ9RsohWP3ag4Y0SADz7,Fabrice Lig,Dark Commodore
43325,5CiL62jzro1y8xsX3EnVdc,Dariush Dolat-Shahi,Shabistan
11641,7A6xUNWiKHoZG1oQzypNJ2,Wolfgang Amadeus Mozart;Claire-Marie Le Guay,"Piano Sonata No. 4 in E-Flat Major, K. 282: 1b. Adagio - Pt. 2"
11624,2vZkRvnwxCLsmzf8oGGBKK,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,6 Minuets K. 105 (attribution doubtful): No. 4 in G Major
11621,75VfoYbX5SOhJpEQKXzUtG,Wolfgang Amadeus Mozart;Alicia de Larrocha,"Piano Sonata No. 11 in A Major, K. 331: 1f. Variation 6"
63145,2y0j1rGWpEa6JI23iABu3r,Rashid Beibutov,Baku
43445,2ZDguDTnUjY6AZme0cwz73,Crows in the Rain,"Chapter III - Please Be Well, Is It Too Late"
63144,1u8FVpugCoTfwuAcYESZe6,Rashid Beibutov,Hasrat(gizil Deglama)
70207,11yqameeIpd0oDPXNWUtjP,small query,waltz to the moon
70232,3DgpLXixS9kWl4neo6Vgvw,Justnormal,Elephant Tile
11607,3b4CT1QcTUXjxxhclNX5UT,Wolfgang Amadeus Mozart;Heinz Holliger;Hermann Baumann;Michel Gasciarrino;Henk Guldemond;Orlando Quartet,"Divertimento No. 11 in D, K.251 ""Nannerl-Septett"": 4b. Menuetto (Tema con variazioni): Var. I"
70244,5AscRxeqL1472SDDMRRuYT,Silk Mhake,Evening Cup
17793,0FQ1PivvHi1Huyb08BovCM,Omar S,Mandela Gold
43359,1Ra44Igv2rVXj9Q8Ba23YY,Alphaxone,Inner Horizon
43358,7AZREJbd0kP975u6J70hTG,Saint Abdullah;John Butcher,The Birds Discuss The Journey
17747,6CCBKHm2BRWcHwHeXZHOWe,Psyche/BFC,Please Stand By
17792,6PjIzKIgAQgUtQCNXclUVd,Ataxia,Oblivion - Mixed
63123,0yg8hDoQRlwME53oinL1c5,Georgi Vinogradov,Ljublju
17788,27hawg6glIyjy6qBautG0u,Jeff Mills;Rafael Leafar,Soul Filter (The Dancer)
43355,0kYxGkYQwIW9TY7L4DOB00,Alphaxone;Dronny Darko,Dissolution of Thought
17787,1Zd1Y1UeG8PB5fDSgKQaH6,Omar S,Less Pain
70320,3xRgl52vYNy3ORBJTeqUpR,Justnormal,Winter Foliage
